Date,Time,Site,Trap,Treatment,SPB,BTB,Clerids
5/20/18,1,1,1,LOW4AA,61,33,6
5/22/18,2,1,1,MED4AA,152,23,8
5/24/18,3,1,1,HIGH4AA,115,53,15
5/26/18,4,1,1,CONTROL,0,0,0
5/20/18,1,1,2,CONTROL,6,1,1
5/22/18,2,1,2,LOW4AA,18,18,13
5/24/18,3,1,2,MED4AA,27,6,1
5/26/18,4,1,2,HIGH4AA,18,30,0
5/20/18,1,1,3,HIGH4AA,73,7,2
5/22/18,2,1,3,CONTROL,26,2,1
5/24/18,3,1,3,LOW4AA,24,6,5
5/26/18,4,1,3,MED4AA,11,10,0
5/20/18,1,1,4,MED4AA,63,1,1
5/22/18,2,1,4,HIGH4AA,443,6,13
5/24/18,3,1,4,CONTROL,4,1,0
5/26/18,4,1,4,LOW4AA,15,2,2
5/20/18,1,2,1,MED4AA,137,3,3
5/22/18,2,2,1,CONTROL,12,1,3
5/24/18,3,2,1,LOW4AA,32,1,0
5/26/18,4,2,1,HIGH4AA,20,2,0
5/20/18,1,2,2,HIGH4AA,1002,39,41
5/22/18,2,2,2,MED4AA,512,78,52
5/24/18,3,2,2,CONTROL,9,13,4
5/26/18,4,2,2,LOW4AA,37,18,1
5/20/18,1,2,3,LOW4AA,682,13,27
5/22/18,2,2,3,HIGH4AA,842,85,83
5/24/18,3,2,3,MED4AA,237,24,17
5/26/18,4,2,3,CONTROL,36,5,1
5/20/18,1,2,4,CONTROL,26,0,2
5/22/18,2,2,4,LOW4AA,135,8,5
5/24/18,3,2,4,HIGH4AA,323,7,11
5/26/18,4,2,4,MED4AA,14,2,0
5/20/18,1,3,1,CONTROL,128,2,12
5/22/18,2,3,1,HIGH4AA,335,134,40
5/24/18,3,3,1,MED4AA,155,33,11
5/26/18,4,3,1,LOW4AA,74,16,4
5/20/18,1,3,2,LOW4AA,621,37,58
5/22/18,2,3,2,CONTROL,91,9,18
5/24/18,3,3,2,HIGH4AA,542,54,26
5/26/18,4,3,2,MED4AA,317,50,3
5/20/18,1,3,3,MED4AA,815,26,45
5/22/18,2,3,3,LOW4AA,404,15,23
5/24/18,3,3,3,CONTROL,28,5,9
5/26/18,4,3,3,HIGH4AA,182,38,11
5/20/18,1,3,4,HIGH4AA,657,103,21
5/22/18,2,3,4,MED4AA,449,71,8
5/24/18,3,3,4,LOW4AA,245,23,7
5/26/18,4,3,4,CONTROL,110,4,4
5/20/18,1,4,1,HIGH4AA,399,16,15
5/22/18,2,4,1,LOW4AA,259,13,15
5/24/18,3,4,1,CONTROL,25,1,5
5/26/18,4,4,1,MED4AA,100,9,2
5/20/18,1,4,2,MED4AA,191,18,11
5/22/18,2,4,2,HIGH4AA,616,27,28
5/24/18,3,4,2,LOW4AA,129,9,11
5/26/18,4,4,2,CONTROL,8,1,0
5/20/18,1,4,3,CONTROL,6,2,6
5/22/18,2,4,3,MED4AA,61,6,10
5/24/18,3,4,3,HIGH4AA,136,11,11
5/26/18,4,4,3,LOW4AA,8,2,1
5/20/18,1,4,4,LOW4AA,29,2,5
5/22/18,2,4,4,CONTROL,22,0,2
5/24/18,3,4,4,MED4AA,69,3,3
5/26/18,4,4,4,HIGH4AA,39,5,0
