Location,Date,Site,Time,Trap,Treatment,SPB,BTB,Clerids
L1T4,4/10/19,1,1,4,CONTROL,0,0,3
L2T2,4/10/19,2,1,2,CONTROL,1,0,1
L3T1,4/10/19,3,1,1,CONTROL,2,0,2
L4T2,4/10/19,4,1,2,CONTROL,5,0,0
L1T1,4/12/19,1,2,1,CONTROL,6,1,2
L2T3,4/12/19,2,2,3,CONTROL,28,0,4
L3T2,4/12/19,3,2,2,CONTROL,12,1,13
L4T3,4/12/19,4,2,3,CONTROL,4,0,1
L1T2,4/14/19,1,3,2,CONTROL,2,0,7
L2T4,4/14/19,2,3,4,CONTROL,6,0,1
L3T3,4/14/19,3,3,3,CONTROL,7,0,3
L4T4,4/14/19,4,3,4,CONTROL,1,0,4
L1T3,4/16/19,1,4,3,CONTROL,2,0,3
L2T1,4/16/19,2,4,1,CONTROL,0,0,4
L3T4,4/16/19,3,4,4,CONTROL,0,0,2
L4T1,4/16/19,4,4,1,CONTROL,3,0,5
L1T2,4/10/19,1,1,2,HIGH4AA,102,1,4
L2T1,4/10/19,2,1,1,HIGH4AA,85,0,4
L3T2,4/10/19,3,1,2,HIGH4AA,116,0,5
L4T1,4/10/19,4,1,1,HIGH4AA,393,0,11
L1T3,4/12/19,1,2,3,HIGH4AA,322,0,25
L2T2,4/12/19,2,2,2,HIGH4AA,489,0,13
L3T3,4/12/19,3,2,3,HIGH4AA,540,0,35
L4T2,4/12/19,4,2,2,HIGH4AA,277,0,9
L1T4,4/14/19,1,3,4,HIGH4AA,189,0,7
L2T3,4/14/19,2,3,3,HIGH4AA,627,0,8
L3T4,4/14/19,3,3,4,HIGH4AA,367,0,14
L4T3,4/14/19,4,3,3,HIGH4AA,25,0,5
L1T1,4/16/19,1,4,1,HIGH4AA,74,0,21
L2T4,4/16/19,2,4,4,HIGH4AA,85,0,6
L3T1,4/16/19,3,4,1,HIGH4AA,44,0,3
L4T4,4/16/19,4,4,4,HIGH4AA,259,0,3
L2T3,4/10/19,2,1,3,LOW4AA,22,0,1
L3T4,4/10/19,3,1,4,LOW4AA,30,0,0
L4T3,4/10/19,4,1,3,LOW4AA,43,0,0
L1T2,4/12/19,1,2,2,LOW4AA,57,0,9
L2T4,4/12/19,2,2,4,LOW4AA,151,0,4
L3T1,4/12/19,3,2,1,LOW4AA,26,0,4
L4T4,4/12/19,4,2,4,LOW4AA,41,0,1
L1T3,4/14/19,1,3,3,LOW4AA,26,0,1
L2T1,4/14/19,2,3,1,LOW4AA,9,0,11
L3T2,4/14/19,3,3,2,LOW4AA,54,0,4
L4T1,4/14/19,4,3,1,LOW4AA,4,0,5
L1T4,4/16/19,1,4,4,LOW4AA,3,0,3
L2T2,4/16/19,2,4,2,LOW4AA,10,0,2
L3T3,4/16/19,3,4,3,LOW4AA,4,0,0
L4T2,4/16/19,4,4,2,LOW4AA,7,0,3
L1T1,4/10/19,1,1,1,LOW4AA,33,0,3
L1T3,4/10/19,1,1,3,MED4AA,59,1,2
L2T4,4/10/19,2,1,4,MED4AA,115,0,0
L3T3,4/10/19,3,1,3,MED4AA,50,0,1
L4T4,4/10/19,4,1,4,MED4AA,94,0,2
L1T4,4/12/19,1,2,4,MED4AA,139,0,10
L2T1,4/12/19,2,2,1,MED4AA,160,0,14
L3T4,4/12/19,3,2,4,MED4AA,398,0,20
L4T1,4/12/19,4,2,1,MED4AA,510,1,57
L1T1,4/14/19,1,3,1,MED4AA,207,0,5
L2T2,4/14/19,2,3,2,MED4AA,138,0,1
L3T1,4/14/19,3,3,1,MED4AA,86,0,6
L4T2,4/14/19,4,3,2,MED4AA,7,0,8
L1T2,4/16/19,1,4,2,MED4AA,31,0,17
L2T3,4/16/19,2,4,3,MED4AA,45,0,10
L3T2,4/16/19,3,4,2,MED4AA,47,0,23
L4T3,4/16/19,4,4,3,MED4AA,38,0,8
