Date,Time,Days,Block,Trap,Treatment,Male,Female,SPB,Clerids
6/26/19,6,7,2,2,A,0,0,0,0
6/26/19,6,7,1,5,A,0,0,0,0
6/26/19,6,7,3,5,A,0,0,0,0
6/26/19,6,7,1,1,B,0,0,0,0
6/26/19,6,7,3,1,B,11,1,12,2
6/26/19,6,7,2,4,B,5,1,6,14
6/26/19,6,7,2,1,C,0,0,0,0
6/26/19,6,7,3,4,C,1,1,2,0
6/26/19,6,7,1,6,C,0,0,0,1
6/26/19,6,7,1,4,D,74,46,120,2
6/26/19,6,7,2,5,D,0,0,0,4
6/26/19,6,7,3,6,D,3,2,5,1
6/26/19,6,7,1,2,E,5,2,7,0
6/26/19,6,7,2,3,E,0,0,0,2
6/26/19,6,7,3,3,E,0,0,0,0
6/26/19,6,7,3,2,F,0,0,0,4
6/26/19,6,7,1,3,F,10,13,23,2
6/26/19,6,7,2,6,F,0,1,1,1
6/19/19,5,7,1,1,A,0,0,0,0
6/19/19,5,7,3,2,A,0,0,0,0
6/19/19,5,7,2,6,A,0,0,0,0
6/19/19,5,7,2,3,B,1,0,1,0
6/19/19,5,7,3,3,B,0,0,0,0
6/19/19,5,7,1,6,B,0,0,0,0
6/19/19,5,7,1,4,C,7,4,11,1
6/19/19,5,7,2,4,C,0,0,0,0
6/19/19,5,7,3,5,C,0,1,1,1
6/19/19,5,7,2,1,D,4,4,8,0
6/19/19,5,7,3,1,D,0,0,0,2
6/19/19,5,7,1,2,D,14,9,23,3
6/19/19,5,7,1,3,E,26,14,40,4
6/19/19,5,7,2,5,E,0,0,0,3
6/19/19,5,7,3,6,E,3,0,3,3
6/19/19,5,7,2,2,F,6,5,11,3
6/19/19,5,7,3,4,F,4,2,6,0
6/19/19,5,7,1,5,F,25,15,40,1
6/12/19,4,8,2,3,A,0,0,0,0
6/12/19,4,8,3,3,A,0,0,0,0
6/12/19,4,8,1,6,A,0,0,0,0
6/12/19,4,8,2,1,B,0,0,0,0
6/12/19,4,8,1,3,B,0,0,0,2
6/12/19,4,8,3,4,B,0,0,0,0
6/12/19,4,8,3,1,C,0,0,0,1
6/12/19,4,8,1,2,C,2,0,2,3
6/12/19,4,8,2,6,C,0,0,0,2
6/12/19,4,8,2,2,D,5,5,10,9
6/12/19,4,8,1,5,D,6,3,9,3
6/12/19,4,8,3,5,D,3,4,7,18
6/12/19,4,8,1,1,E,0,0,0,0
6/12/19,4,8,3,2,E,1,0,1,3
6/12/19,4,8,2,4,E,1,0,1,2
6/12/19,4,8,1,4,F,2,3,5,2
6/12/19,4,8,2,5,F,0,0,0,4
6/12/19,4,8,3,6,F,3,4,7,9
6/4/19,3,6,3,1,A,0,0,0,0
6/4/19,3,6,1,2,A,0,0,0,0
6/4/19,3,6,2,5,A,0,0,0,0
6/4/19,3,6,1,4,B,0,0,0,0
6/4/19,3,6,2,6,B,0,0,0,0
6/4/19,3,6,3,6,B,1,1,2,2
6/4/19,3,6,3,2,C,1,0,1,8
6/4/19,3,6,1,3,C,7,4,11,2
6/4/19,3,6,2,3,C,2,2,4,0
6/4/19,3,6,1,1,D,4,1,5,4
6/4/19,3,6,3,3,D,2,2,4,2
6/4/19,3,6,2,4,D,3,8,11,7
6/4/19,3,6,2,2,E,3,3,6,6
6/4/19,3,6,3,4,E,5,5,10,2
6/4/19,3,6,1,5,E,5,3,8,1
6/4/19,3,6,2,1,F,0,1,1,1
6/4/19,3,6,3,5,F,6,5,11,11
6/4/19,3,6,1,6,F,3,3,6,4
5/29/19,2,7,2,1,A,0,0,0,0
5/29/19,2,7,1,4,A,4,4,8,0
5/29/19,2,7,3,4,A,0,0,0,0
5/29/19,2,7,1,2,B,0,0,0,0
5/29/19,2,7,2,5,B,0,0,0,0
5/29/19,2,7,3,5,B,4,4,8,0
5/29/19,2,7,2,2,C,20,11,31,2
5/29/19,2,7,1,5,C,17,6,23,1
5/29/19,2,7,3,6,C,44,11,55,17
5/29/19,2,7,3,2,D,10,2,12,21
5/29/19,2,7,1,3,D,64,41,105,9
5/29/19,2,7,2,3,D,62,35,97,15
5/29/19,2,7,3,1,E,1,3,4,0
5/29/19,2,7,1,6,E,3,1,4,0
5/29/19,2,7,2,6,E,3,4,7,7
5/29/19,2,7,1,1,F,4,3,7,3
5/29/19,2,7,3,3,F,2,2,4,0
5/29/19,2,7,2,4,F,10,4,14,6
5/22/19,1,7,1,3,A,0,1,1,0
5/22/19,1,7,2,4,A,0,0,0,0
5/22/19,1,7,3,6,A,0,0,0,0
5/22/19,1,7,2,2,B,0,2,2,1
5/22/19,1,7,3,2,B,0,0,0,2
5/22/19,1,7,1,5,B,0,0,0,0
5/22/19,1,7,1,1,C,2,0,2,3
5/22/19,1,7,3,3,C,3,1,4,1
5/22/19,1,7,2,5,C,0,1,1,1
5/22/19,1,7,3,4,D,61,41,102,8
5/22/19,1,7,1,6,D,21,9,30,3
5/22/19,1,7,2,6,D,21,17,38,5
5/22/19,1,7,2,1,E,2,2,4,0
5/22/19,1,7,1,4,E,86,62,148,29
5/22/19,1,7,3,5,E,51,24,75,0
5/22/19,1,7,3,1,F,2,1,3,2
5/22/19,1,7,1,2,F,3,1,4,1
5/22/19,1,7,2,3,F,27,12,39,7
